,cond(AtA),NRMSE (НУ),Время НУ (с),cond(A),NRMSE (QR),Время QR (с)
1,1.92e+01,8.30e-02,1.29e-02,4.39e+00,8.30e-02,1.32e-01
2,4.32e+02,4.33e-15,2.54e-04,2.08e+01,3.06e-15,1.61e-01
3,1.50e+04,3.38e-14,1.89e-04,1.22e+02,2.51e-15,2.14e-01
4,4.48e+05,1.92e-13,2.73e-04,6.69e+02,2.12e-15,3.11e-01
5,1.42e+07,1.08e-12,1.83e-04,3.77e+03,1.87e-15,3.42e-01
6,4.46e+08,6.09e-12,2.30e-03,2.11e+04,2.50e-15,3.76e-01
7,1.43e+10,3.20e-11,2.15e-04,1.19e+05,2.21e-15,4.23e-01
8,4.58e+11,1.80e-10,2.52e-03,6.77e+05,2.38e-15,4.70e-01
9,1.48e+13,1.13e-09,3.34e-03,3.84e+06,2.13e-15,5.54e-01
10,4.65e+14,6.20e-09,3.05e-04,2.19e+07,2.03e-15,5.69e-01
