,cond(AtA),NRMSE (SVD),Время SVD (с)
0,inf,2.88e-01,6.38e-04
1,1.08e+21,1.14e-02,1.06e-03
2,5.21e+21,6.72e-04,1.79e-03
3,1.24e+21,6.69e-04,7.99e-03
4,4.42e+21,6.66e-04,2.59e-03
5,2.58e+22,4.41e-04,1.26e-02
6,2.84e+21,2.54e-04,8.62e-03
7,2.50e+21,3.56e-04,1.01e-02
8,4.59e+21,nan,6.67e-02
9,1.82e+22,2.41e-04,2.04e-02
10,7.52e+21,nan,1.22e-02
