,cond(AtA),NRMSE (SVD),Время SVD (с)
0,inf,3.32e-01,1.66e-03
1,1.09e+22,8.30e-02,1.66e-03
2,2.32e+20,4.98e-15,5.10e-03
3,1.74e+20,4.47e-14,6.15e-03
4,9.95e+19,2.81e-13,1.58e-03
5,2.48e+20,1.35e-12,9.39e-04
6,6.20e+19,2.00e-12,2.43e-03
7,1.62e+21,4.41e-11,9.86e-04
8,7.75e+19,9.46e-11,1.10e-03
9,2.11e+20,1.23e-09,1.19e-03
10,7.13e+20,3.86e-09,1.36e-03
